CHARTER,REG,ASSET,DEP,TYPE
N,SOUTHERN,1409496,1298731,FAILURE
N,SOUTHERN,29792,26054,FAILURE
SB,MIDWESTERN,1765455,1609501,FAILURE
N,MIDWESTERN,9075,8728,FAILURE
NM,NORTHEASTERN,17438,16931,FAILURE
N,MIDWESTERN,90397,71277,FAILURE
NM,WESTERN,63890,59037,FAILURE
NM,SOUTHERN,85485,77140,FAILURE
NM,MIDWESTERN,25942,26667,FAILURE
N,WESTERN,7923,7680,FAILURE
SB,SOUTHERN,31479,32234,FAILURE
NM,MIDWESTERN,105044,68549,FAILURE
NM,NORTHEASTERN,87158,80365,FAILURE
NM,WESTERN,127342,119451,FAILURE
N,SOUTHERN,36823,35946,FAILURE
N,SOUTHERN,1119865,880859,FAILURE
SB,SOUTHERN,68981,61303,FAILURE
N,SOUTHERN,121564,113054,FAILURE
SM,WESTERN,17251,16708,FAILURE
NM,SOUTHERN,13205,12887,FAILURE
SM,WESTERN,14977,13888,FAILURE
NM,WESTERN,233223,206325,FAILURE
SM,MIDWESTERN,42038,40462,FAILURE
NM,SOUTHERN,27923,27511,FAILURE
NM,WESTERN,11547,10883,FAILURE
